"rules","support","confidence","lift"
"{buns} => {mustard}",0.2,1,3
"{mustard} => {buns}",0.2,0.6,3
"{buns} => {chips}",0.2,1,2.5
"{chips} => {buns}",0.2,0.5,2.5
"{buns} => {soda}",0.2,1,2.14285714285714
"{buns} => {beer}",0.2,1,2.14285714285714
"{mayo} => {mustard}",0.133333333333333,0.666666666666667,2
"{mayo} => {chips}",0.2,1,2.5
"{chips} => {mayo}",0.2,0.5,2.5
"{mayo} => {cheese}",0.2,1,2.5
"{cheese} => {mayo}",0.2,0.5,2.5
"{mayo} => {soda}",0.2,1,2.14285714285714
"{mayo} => {beer}",0.2,1,2.14285714285714
"{mayo} => {bread}",0.2,1,1.36363636363636
"{oranges} => {banana}",0.2,0.75,2.25
"{banana} => {oranges}",0.2,0.6,2.25
"{oranges} => {eggs}",0.133333333333333,0.5,1.25
"{oranges} => {butter}",0.133333333333333,0.5,1.07142857142857
"{oranges} => {milk}",0.2,0.75,1.60714285714286
"{oranges} => {cheese}",0.133333333333333,0.5,1.25
"{oranges} => {bread}",0.2,0.75,1.02272727272727
"{chocolate} => {eggs}",0.2,0.75,1.875
"{eggs} => {chocolate}",0.2,0.5,1.875
"{chocolate} => {butter}",0.133333333333333,0.5,1.07142857142857
"{chocolate} => {milk}",0.2,0.75,1.60714285714286
"{chocolate} => {bread}",0.2,0.75,1.02272727272727
"{banana} => {cheese}",0.2,0.6,1.5
"{cheese} => {banana}",0.2,0.5,1.5
"{banana} => {bread}",0.2,0.6,0.818181818181818
"{eggs} => {butter}",0.333333333333333,0.833333333333333,1.78571428571429
"{butter} => {eggs}",0.333333333333333,0.714285714285714,1.78571428571429
"{eggs} => {milk}",0.4,1,2.14285714285714
"{milk} => {eggs}",0.4,0.857142857142857,2.14285714285714
"{eggs} => {bread}",0.333333333333333,0.833333333333333,1.13636363636364
"{mustard} => {chips}",0.266666666666667,0.8,2
"{chips} => {mustard}",0.266666666666667,0.666666666666667,2
"{mustard} => {cheese}",0.2,0.6,1.5
"{cheese} => {mustard}",0.2,0.5,1.5
"{mustard} => {soda}",0.266666666666667,0.8,1.71428571428571
"{soda} => {mustard}",0.266666666666667,0.571428571428571,1.71428571428571
"{mustard} => {beer}",0.333333333333333,1,2.14285714285714
"{beer} => {mustard}",0.333333333333333,0.714285714285714,2.14285714285714
"{mustard} => {bread}",0.2,0.6,0.818181818181818
"{butter} => {milk}",0.333333333333333,0.714285714285714,1.53061224489796
"{milk} => {butter}",0.333333333333333,0.714285714285714,1.53061224489796
"{butter} => {bread}",0.466666666666667,1,1.36363636363636
"{bread} => {butter}",0.466666666666667,0.636363636363636,1.36363636363636
"{milk} => {bread}",0.4,0.857142857142857,1.16883116883117
"{bread} => {milk}",0.4,0.545454545454545,1.16883116883117
"{chips} => {cheese}",0.2,0.5,1.25
"{cheese} => {chips}",0.2,0.5,1.25
"{chips} => {soda}",0.4,1,2.14285714285714
"{soda} => {chips}",0.4,0.857142857142857,2.14285714285714
"{chips} => {beer}",0.333333333333333,0.833333333333333,1.78571428571429
"{beer} => {chips}",0.333333333333333,0.714285714285714,1.78571428571429
"{chips} => {bread}",0.2,0.5,0.681818181818182
"{cheese} => {soda}",0.266666666666667,0.666666666666667,1.42857142857143
"{soda} => {cheese}",0.266666666666667,0.571428571428571,1.42857142857143
"{cheese} => {beer}",0.333333333333333,0.833333333333333,1.78571428571429
"{beer} => {cheese}",0.333333333333333,0.714285714285714,1.78571428571429
"{cheese} => {bread}",0.4,1,1.36363636363636
"{bread} => {cheese}",0.4,0.545454545454545,1.36363636363636
"{soda} => {beer}",0.4,0.857142857142857,1.83673469387755
"{beer} => {soda}",0.4,0.857142857142857,1.83673469387755
"{soda} => {bread}",0.266666666666667,0.571428571428571,0.779220779220779
"{beer} => {bread}",0.333333333333333,0.714285714285714,0.974025974025974
